ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Government of Haryana,LABOUR COMMISSIONER,LCL10,Labour Department,"30th Bays Building Sector-17  Chandigarh.,  ,  ",160017.0,DLC HQ.,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB0,Labour Department,"30Bays Building,  ,  ",,ALC Hq.,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB1,Labour Department Haryana,"30 Bays Building Sector 17,  ,  ",,ALC Admin,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB2,LABOUR DEPTT. HARYANA,"civil line, GURUGRAM,  ",,ALC NCR GURGAON,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB3,Labour Department Haryana,"30 BAYS BUILDING, SECTOR 17, CHANDIGARH",160017.0,Addl Director,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB4,Assistant Labour Commissioner Ambala,"Near Majri Chowk, Panchkula,  ",134102.0,DLC Panchkula,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB5,Labour Department Haryana,"Mini Sect. 5th Floor Panipat,  ,  ",,DLC Panipat,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB6,Labour Department Haryana,Mini Secretariate Ground Floor,124001.0,DLC Rohtak,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB7,Labour Department Haryana,"DLC OFFICE 3RD FLOOR OPPOSITE-OZONE CENTER  NEAR T, OW PARK  SEC-12  FARIDABAD",121007.0,DLC FARIDABAD,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB8,Labour Department HARYANA,3RD Floor Mini Sectt. Hissar,125001.0,DLC Hisar,3.0
Government of Haryana,LABOUR COMMISSIONER,LCLB9,Haryana Labour  Welfare Board,"Bays No. 29-30  Sec-4  Panchkula,  ,  ",,Dy.Labour Commissioner Welfare,3.0
Government of Haryana,Haryana State Warehousing Corporation HSWC,MBHWC,Haryana State Warehousing Corporation,"Bays No. 15-18 Sector-2 Panchkula, Bays No. 15-18 Sector-2 Panchkula, Bays No. 15-18 Sector-2 Panchkula",134112.0,Manager Business,
Government of Haryana,SDM Tohana,MC12T,MUNICIPAL COUNCIL,"MUNICIPAL COUNCIL TOHANA OFFICE CHANDIGARH ROAD TO, HANA TEHSIL TOHANA DISTT. FATEHABAD",125120.0,EO MUNICIPAL COUNCIL TOHANA,4.0
Government of Haryana,DEPUTY COMMISSIONER,MBROH,MISC BRANCH,"DC OFFICE, ROOM 115, ROHTAK",124001.0,CITY MAGISTRATE,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCAJ6,MC Agriculture Jakhal,"MC Agriculture Jakhal, Fatehabad, Haryana",125133.0,secrtrait cum executive,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCA06,MC Tohana,MC Tohana Fatehabad,125050.0,Nodal Officer,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCAMB,MUNICIPAL CORPORATION AMBALA,"MUNICIPAL CORPORATION, AMBALA,  ",,EXECUTIVE OFFICER,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCASD,MUNICIPAL COMMITTEE ASSANDH,"MUNICIPAL COMMITTEE ASSANDH,  ,  ",132039.0,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCATL,MUNICIPAL COMMITTEE ATELI MANDI,"MUNICIPAL COMMITTEE, ATELI MANDI,  ",,SECRETARY,3.0
Government of Haryana,Deputy Commissioner Mahendergarh,MCATT,Secretary MC Ateli,"MC Office, Ateli, .",123021.0,Secretary MC Ateli,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCB06,MC bhuna,"MC Bhuna, fatehabad",125111.0,Secretary cum EO,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBHW,Municipal Council Bhiwani,"Municipal Council, Bhiwani,  ",127021.0,EXECUTIVE OFFICER,3.0
Government of Haryana,DEPUTY COMMISSIONER BHIWANI,MCBKH,Municipal Bawani Khera,"Bawani Khera,  , District Bhiwani",,Secretary,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBRR,MUNICIPAL COMMITTEE BRARA,"MUNICIPAL COMMITTEE, Barara",133201.0,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBRW,MUNICIPAL COMMITTEE BARWALA,"MUNICIPAL COMMITTEE, BARWALA,  ",,SECRETARY,3.0
Government of Haryana,SP Karnal,MBSHO,SHO MADHUBAN,"NEAR POLICE ACADEMY G.T. ROAD  MADHUBAN,  ,  ",,INSPECOTR,4.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBUN,MUNICIPAL COMMITTEE BHUNA,"MUNICIPAL COMMITTEE, BHUNA,  ",,SECRETARY,3.0
Government of Haryana,DEPUTY COMMISSIONER BHIWANI,MCBHI,Municipal Council Bhiwani,"Bhiwani, Bhiwani, Bhiwani",127021.0,Secretary MC Bhiwani,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCBH6,MC Bhuna,"MC BHuna, Fatehabad,  ",125111.0,Secretary,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBER,MUNICIPAL COMMITTEE BERI,"MUNICIPAL COMMITTEE, BERI,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBGH,MUNICIPAL COUNCIL BAHADURGARH,"MUNICIPAL COUNCIL, BAHADURGARH, Main Delhi-Rohtak Road  Near Hanuman Mandir.",124507.0,Executive Officer,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCGNR,MUNICIPAL COMMITTEE GANNAUR,"MUNICIPAL COMMITTEE, GANNAUR,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCGOH,MUNICIPAL COUNCIL GOHANA,MUNICIPAL COUNCIL GOHANA,131301.0,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCGRD,MUNICIPAL COMMITTEE GHARAUNDA,"MUNICIPAL COMMITTEE, GHARAUNDA,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCGRG,MUNICIPAL CORPORATION GURGAON,Municipal Corporation Gurgaon,122001.0,COMMISSIONER MUNICIPAL CORPORA,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCFJK,MUNICIPAL COMMITTEE FIROZPUR ZHIRKA,"MUNICIPAL COMMITTEE, FIROZPUR ZHIRKA,  ",,SECRETARY,3.0
