Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Central Board of Direct Taxes (Income Tax),Pr.CIT 15 Kolkata,ADL45,Addl CIT R 45 Kol,Govt Pl West, , ,700001,Addl CIT R 45 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 16 Kolkata,ADL46,Addl CIT R 46 Kol,Govt Pl West,NA,NA,700001,Addl CIT R 46 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 16 Kolkata,ADL47,Addl CIT R 47 Kol,Govt Pl West, , ,700001,Addl CIT R 47 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 16 Kolkata,ADL48,Addl CIT R 48 Kol,Govt Pl West,NA,NA,700001,Addl CIT R 48 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 17 Kolkata,ADL49,Addl CIT R 49 Kol,Uttarapan Complex, , ,700054,Addl CIT R 49 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 17 Kolkata,ADL50,Addl CIT R 50 Kol,Uttarapan Complex, , ,700054,Addl CIT R 50 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 17 Kolkata,ADL51,Addl CIT R 51 Kol,Uttarapan Complex, , ,700054,Addl CIT R 51 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 18 Kolkata,ADL52,Addl CIT R 52 Kol,Bamboovilla,NA,NA,700014,Addl CIT R 52 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 18 Kolkata,ADL53,Addl CIT R 53 Kol,Bamboovilla,NA,NA,700014,Addl CIT R 53 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 18 Kolkata,ADL54,Addl CIT R 55 Kol,Bamboovilla, , ,700014,Addl CIT R 54 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 19 Kolkata,ADL55,Addl CIT R 55 Kol,Bamboovilla, , ,700014,Addl CIT R 55 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 19 Kolkata,ADL56,Addl CIT R 56 Kol,Bamboovilla, , ,700014,Addl CIT R 56 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 19 Kolkata,ADL57,Addl CIT R 57 Kol,Bamboovilla, , ,700014,Addl CIT R 57 Kol,5
